arteryId:ID(Artery),name
aorta,Aorta
thoracic_aorta,Thoracic Aorta
abdominal_aorta,Abdominal Aorta
subclavian_artery,Subclavian Artery
axillary_artery,Axillary Artery
brachial_artery,Brachial Artery
radial_artery,Radial Artery
ulnar_artery,Ulnar Artery
common_carotid_artery,Common Carotid Artery
external_carotid_artery,External Carotid Artery
internal_thoracic_artery,Internal Thoracic Artery
superior_thyroid_artery,Superior Thyroid Artery
inferior_thyroid_artery,Inferior Thyroid Artery
common_iliac_artery,Common Iliac Artery
internal_iliac_artery,Internal Iliac Artery
external_iliac_artery,External Iliac Artery
popliteal_artery,Popliteal Artery
posterior_tibial_artery,Posterior Tibial Artery
deep_brachial_artery,Deep Brachial Artery
posterior_circumflex_humeral_artery,Posterior Circumflex Humeral Artery
thoracoacromial_artery,Thoracoacromial Artery
suprascapular_artery,Suprascapular Artery
circumflex_scapular_artery,Circumflex Scapular Artery
subscapular_artery,Subscapular Artery
lateral_thoracic_artery,Lateral Thoracic Artery
common_interosseous_artery,Common Interosseous Artery
anterior_interosseous_artery,Anterior Interosseous Artery
posterior_interosseous_artery,Posterior Interosseous Artery
superficial_palmar_arch,Superficial Palmar Arch
