attachId:ID(AttachmentPoint),name,structure:STRING
coracoid_process,Coracoid Process,scapula
supraglenoid_tubercle,Supraglenoid Tubercle,scapula
infraglenoid_tubercle,Infraglenoid Tubercle,scapula
spine_of_scapula,Spine of Scapula,scapula
acromion,Acromion,scapula
glenoid_cavity,Glenoid Cavity,scapula
supraspinous_fossa,Supraspinous Fossa,scapula
infraspinous_fossa,Infraspinous Fossa,scapula
subscapular_fossa,Subscapular Fossa,scapula
medial_border_scapula,Medial Border of Scapula,scapula
lateral_border_scapula,Lateral Border of Scapula,scapula
inferior_angle_scapula,Inferior Angle of Scapula,scapula
sternal_end,Sternal End,clavicle
acromial_end,Acromial End,clavicle
medial_clavicle,Medial Clavicle,clavicle
lateral_clavicle,Lateral Clavicle,clavicle
sternum_body,Body of Sternum,sternum
costal_cartilages_1_6,Costal Cartilages 1-6,thoracic_cage
head_of_humerus,Head of Humerus,humerus
greater_tubercle,Greater Tubercle,humerus
lesser_tubercle,Lesser Tubercle,humerus
intertubercular_groove,Intertubercular Groove,humerus
medial_lip_intertubercular_sulcus,Medial Lip of Intertubercular Sulcus,humerus
deltoid_tuberosity,Deltoid Tuberosity,humerus
medial_epicondyle,Medial Epicondyle,humerus
lateral_epicondyle,Lateral Epicondyle,humerus
lateral_supracondylar_ridge,Lateral Supracondylar Ridge,humerus
midshaft_humerus_medial,Medial Midshaft of Humerus,humerus
intertubercular_sulcus,Intertubercular Sulcus,humerus
above_radial_groove,Area Above Radial Groove,humerus
below_radial_groove,Area Below Radial Groove,humerus
head_of_radius,Head of Radius,radius
radial_tuberosity,Radial Tuberosity,radius
anterior_radius,Anterior Surface of Radius,radius
posterior_radius,Posterior Surface of Radius,radius
styloid_process_of_radius,Styloid Process of Radius,radius
ulnar_notch,Ulnar Notch,radius
midshaft_radius,Midshaft of Radius,radius
proximal_radius,Proximal Radius,radius
distal_radius_anterior,Distal Anterior Radius,radius
olecranon_process,Olecranon Process,ulna
coronoid_process,Coronoid Process,ulna
ulnar_tuberosity,Ulnar Tuberosity,ulna
styloid_process_of_ulna,Styloid Process of Ulna,ulna
radial_notch,Radial Notch,ulna
posterior_border_ulna,Posterior Border of Ulna,ulna
posterior_ulna,Posterior Surface of Ulna,ulna
proximal_ulna,Proximal Ulna,ulna
distal_ulna_anterior,Distal Anterior Ulna,ulna
pisiform,Pisiform,hand
hamate,Hamate,hand
middle_phalanges_2_5,Middle Phalanges of Digits 2-5,hand
base_of_5th_metacarpal,Base of 5th Metacarpal,hand
base_of_1st_metacarpal,Base of 1st Metacarpal,hand
base_of_2nd_metacarpal,Base of 2nd Metacarpal,hand
base_of_3rd_metacarpal,Base of 3rd Metacarpal,hand
proximal_phalanges_2_3_4,Proximal Phalanges of Digits 2-4,hand
proximal_phalanges_2_4_5,"Proximal Phalanges of Digits 2, 4, and 5",hand
medial_side_proximal_phalanx_thumb,Medial Side of Proximal Phalanx of Thumb,hand
lateral_side_proximal_phalanx_thumb,Lateral Side of Proximal Phalanx of Thumb,hand
proximal_phalanx_thumb_dorsal,Dorsal Surface of Proximal Phalanx of Thumb,hand
extensor_expansions_2_5,Extensor Expansions of Digits 2-5,hand
extensor_expansions_4_5,Extensor Expansions of Digits 4 and 5,hand
extensor_expansion_2,Extensor Expansion of Digit 2,hand
extensor_expansion_5,Extensor Expansion of Digit 5,hand
distal_phalanges_2_5,Distal Phalanges of Digits 2-5,hand
distal_phalanx_thumb,Distal Phalanx of Thumb,hand
lateral_1st_metacarpal,Lateral Surface of 1st Metacarpal,hand
medial_5th_metacarpal,Medial Surface of 5th Metacarpal,hand
proximal_phalanx_5_medial,Medial Side of Proximal Phalanx of Digit 5,hand
proximal_phalanx_5_palmar,Palmar Surface of Proximal Phalanx of Digit 5,hand
scaphoid_tubercle,Tubercle of Scaphoid,hand
trapezium_tubercle,Tubercle of Trapezium,hand
hook_of_hamate,Hook of Hamate,hand
bicipital_aponeurosis,Bicipital Aponeurosis,fascia
palmar_aponeurosis,Palmar Aponeurosis,fascia
flexor_retinaculum,Flexor Retinaculum,fascia
interosseous_membrane,Interosseous Membrane,interosseous_membrane
distal_radius_ulnar_notch,Distal Radius Ulnar Notch,radius
fdp_tendon_digit2,Flexor Digitorum Profundus Tendon Digit 2,tendons
fdp_tendon_digit3,Flexor Digitorum Profundus Tendon Digit 3,tendons
fdp_tendon_digit4,Flexor Digitorum Profundus Tendon Digit 4,tendons
fdp_tendon_digit5,Flexor Digitorum Profundus Tendon Digit 5,tendons
