headId:ID(MuscleHead),name
biceps_brachii_short,Biceps Brachii (Short Head)
biceps_brachii_long,Biceps Brachii (Long Head)
triceps_brachii_long,Triceps Brachii (Long Head)
triceps_brachii_lateral,Triceps Brachii (Lateral Head)
triceps_brachii_medial,Triceps Brachii (Medial Head)
deltoid_anterior,Deltoid (Anterior Head)
deltoid_middle,Deltoid (Middle Head)
deltoid_posterior,Deltoid (Posterior Head)
pectoralis_major_clavicular,Pectoralis Major (Clavicular Head)
pectoralis_major_sternocostal,Pectoralis Major (Sternocostal Head)
supraspinatus,Supraspinatus
infraspinatus,Infraspinatus
teres_minor,Teres Minor
subscapularis,Subscapularis
coracobrachialis_head,Coracobrachialis
teres_major_head,Teres Major
anconeus_head,Anconeus
flexor_carpi_radialis_head,Flexor Carpi Radialis
palmaris_longus_head,Palmaris Longus
flexor_digitorum_profundus_medial,Flexor Digitorum Profundus (Medial Part)
flexor_digitorum_profundus_lateral,Flexor Digitorum Profundus (Lateral Part)
flexor_pollicis_longus_head,Flexor Pollicis Longus
pronator_quadratus_head,Pronator Quadratus
extensor_carpi_radialis_longus_head,Extensor Carpi Radialis Longus
extensor_carpi_radialis_brevis_head,Extensor Carpi Radialis Brevis
extensor_digiti_minimi_head,Extensor Digiti Minimi
extensor_carpi_ulnaris_head,Extensor Carpi Ulnaris
abductor_pollicis_longus_head,Abductor Pollicis Longus
extensor_pollicis_brevis_head,Extensor Pollicis Brevis
extensor_pollicis_longus_head,Extensor Pollicis Longus
extensor_indicis_head,Extensor Indicis
abductor_pollicis_brevis_head,Abductor Pollicis Brevis
flexor_pollicis_brevis_head,Flexor Pollicis Brevis
opponens_pollicis_head,Opponens Pollicis
lumbrical_1_head,Lumbrical 1
lumbrical_2_head,Lumbrical 2
lumbrical_3_head,Lumbrical 3
lumbrical_4_head,Lumbrical 4
abductor_digiti_minimi_head,Abductor Digiti Minimi
flexor_digiti_minimi_brevis_head,Flexor Digiti Minimi Brevis
opponens_digiti_minimi_head,Opponens Digiti Minimi
