muscleId:ID(Muscle),name,group,order
biceps_brachii,Biceps Brachii,Biceps Brachii,Upper Arm
triceps_brachii,Triceps Brachii,Triceps Brachii,Upper Arm
anconeus,Anconeus,Elbow Extensors,Upper Arm
brachialis,Brachialis,Elbow Flexors,Upper Arm
coracobrachialis,Coracobrachialis,Upper Arm Flexors,Upper Arm
brachioradialis,Brachioradialis,Forearm Flexors,Forearm
deltoid,Deltoid,Shoulder Muscles,Shoulder
pectoralis_major,Pectoralis Major,Chest Muscles,Shoulder
latissimus_dorsi,Latissimus Dorsi,Back Muscles,Shoulder
teres_major,Teres Major,Shoulder Muscles,Shoulder
rotator_cuff,Rotator Cuff Group,Rotator Cuff,Shoulder
pronator_teres,Pronator Teres,Forearm Pronators,Forearm
flexor_carpi_radialis,Flexor Carpi Radialis,Forearm Flexors,Forearm
palmaris_longus,Palmaris Longus,Forearm Flexors,Forearm
supinator,Supinator,Forearm Supinators,Forearm
flexor_digitorum_superficialis,Flexor Digitorum Superficialis,Forearm Flexors,Forearm
flexor_digitorum_profundus,Flexor Digitorum Profundus,Forearm Flexors,Forearm
flexor_pollicis_longus,Flexor Pollicis Longus,Forearm Flexors,Forearm
pronator_quadratus,Pronator Quadratus,Forearm Pronators,Forearm
extensor_digitorum,Extensor Digitorum,Forearm Extensors,Forearm
extensor_carpi_radialis_longus,Extensor Carpi Radialis Longus,Forearm Extensors,Forearm
extensor_carpi_radialis_brevis,Extensor Carpi Radialis Brevis,Forearm Extensors,Forearm
extensor_digiti_minimi,Extensor Digiti Minimi,Forearm Extensors,Forearm
extensor_carpi_ulnaris,Extensor Carpi Ulnaris,Forearm Extensors,Forearm
abductor_pollicis_longus,Abductor Pollicis Longus,Forearm Extensors,Forearm
extensor_pollicis_brevis,Extensor Pollicis Brevis,Forearm Extensors,Forearm
extensor_pollicis_longus,Extensor Pollicis Longus,Forearm Extensors,Forearm
extensor_indicis,Extensor Indicis,Forearm Extensors,Forearm
serratus_anterior,Serratus Anterior,Shoulder Stabilizers,Thorax
flexor_carpi_ulnaris,Flexor Carpi Ulnaris,Forearm Flexors,Forearm
adductor_pollicis,Adductor Pollicis,Intrinsic Hand Muscles,Hand
abductor_pollicis_brevis,Abductor Pollicis Brevis,Intrinsic Hand Muscles,Hand
flexor_pollicis_brevis,Flexor Pollicis Brevis,Intrinsic Hand Muscles,Hand
opponens_pollicis,Opponens Pollicis,Intrinsic Hand Muscles,Hand
interossei_dorsal,Dorsal Interossei,Intrinsic Hand Muscles,Hand
interossei_palmar,Palmar Interossei,Intrinsic Hand Muscles,Hand
lumbricals_1_2,Lumbricals 1 and 2,Intrinsic Hand Muscles,Hand
lumbricals_3_4,Lumbricals 3 and 4,Intrinsic Hand Muscles,Hand
abductor_digiti_minimi,Abductor Digiti Minimi,Intrinsic Hand Muscles,Hand
flexor_digiti_minimi_brevis,Flexor Digiti Minimi Brevis,Intrinsic Hand Muscles,Hand
opponens_digiti_minimi,Opponens Digiti Minimi,Intrinsic Hand Muscles,Hand
