:START_ID(Action),:END_ID,:TYPE
elbow_flexion,biceps_brachii_short,PRIMARY_MOVER
elbow_flexion,biceps_brachii_long,PRIMARY_MOVER
elbow_flexion,brachialis,PRIMARY_MOVER
elbow_flexion,brachioradialis,PRIMARY_MOVER
elbow_flexion,pronator_teres,PRIMARY_MOVER
shoulder_flexion,biceps_brachii_short,PRIMARY_MOVER
shoulder_flexion,biceps_brachii_long,PRIMARY_MOVER
shoulder_flexion,deltoid_anterior,PRIMARY_MOVER
shoulder_flexion,pectoralis_major_clavicular,PRIMARY_MOVER
shoulder_flexion,coracobrachialis_head,PRIMARY_MOVER
forearm_supination,biceps_brachii_short,PRIMARY_MOVER
forearm_supination,biceps_brachii_long,PRIMARY_MOVER
forearm_supination,supinator,PRIMARY_MOVER
forearm_pronation,pronator_teres,PRIMARY_MOVER
forearm_pronation,pronator_quadratus_head,PRIMARY_MOVER
elbow_extension,triceps_brachii_long,PRIMARY_MOVER
elbow_extension,triceps_brachii_lateral,PRIMARY_MOVER
elbow_extension,triceps_brachii_medial,PRIMARY_MOVER
elbow_extension,anconeus_head,PRIMARY_MOVER
shoulder_extension,triceps_brachii_long,PRIMARY_MOVER
shoulder_extension,deltoid_posterior,PRIMARY_MOVER
shoulder_extension,latissimus_dorsi,PRIMARY_MOVER
shoulder_extension,teres_major_head,PRIMARY_MOVER
shoulder_adduction,triceps_brachii_long,PRIMARY_MOVER
shoulder_adduction,pectoralis_major_sternocostal,PRIMARY_MOVER
shoulder_adduction,latissimus_dorsi,PRIMARY_MOVER
shoulder_adduction,teres_major_head,PRIMARY_MOVER
shoulder_adduction,coracobrachialis_head,PRIMARY_MOVER
shoulder_abduction,deltoid_middle,PRIMARY_MOVER
shoulder_abduction,supraspinatus,PRIMARY_MOVER
shoulder_medial_rotation,subscapularis,PRIMARY_MOVER
shoulder_medial_rotation,pectoralis_major_clavicular,PRIMARY_MOVER
shoulder_medial_rotation,latissimus_dorsi,PRIMARY_MOVER
shoulder_lateral_rotation,infraspinatus,PRIMARY_MOVER
shoulder_lateral_rotation,teres_minor,PRIMARY_MOVER
wrist_flexion,flexor_carpi_ulnaris,PRIMARY_MOVER
wrist_flexion,flexor_carpi_radialis_head,PRIMARY_MOVER
wrist_flexion,palmaris_longus_head,PRIMARY_MOVER
wrist_flexion,flexor_digitorum_superficialis,PRIMARY_MOVER
wrist_flexion,flexor_digitorum_profundus,PRIMARY_MOVER
wrist_extension,extensor_digitorum,PRIMARY_MOVER
wrist_extension,extensor_carpi_radialis_longus_head,PRIMARY_MOVER
wrist_extension,extensor_carpi_radialis_brevis_head,PRIMARY_MOVER
wrist_extension,extensor_carpi_ulnaris_head,PRIMARY_MOVER
wrist_adduction,flexor_carpi_ulnaris,PRIMARY_MOVER
wrist_adduction,extensor_carpi_ulnaris_head,PRIMARY_MOVER
wrist_abduction,flexor_carpi_radialis_head,PRIMARY_MOVER
wrist_abduction,extensor_carpi_radialis_longus_head,PRIMARY_MOVER
wrist_abduction,extensor_carpi_radialis_brevis_head,PRIMARY_MOVER
finger_flexion,flexor_digitorum_superficialis,PRIMARY_MOVER
finger_flexion,flexor_digitorum_profundus,PRIMARY_MOVER
finger_flexion,flexor_digiti_minimi_brevis_head,PRIMARY_MOVER
finger_extension,extensor_digitorum,PRIMARY_MOVER
finger_extension,extensor_digiti_minimi_head,PRIMARY_MOVER
finger_extension,extensor_indicis_head,PRIMARY_MOVER
finger_abduction,interossei_dorsal,PRIMARY_MOVER
finger_abduction,abductor_digiti_minimi_head,PRIMARY_MOVER
finger_adduction,interossei_palmar,PRIMARY_MOVER
thumb_adduction,adductor_pollicis,PRIMARY_MOVER
thumb_abduction,abductor_pollicis_longus_head,PRIMARY_MOVER
thumb_abduction,abductor_pollicis_brevis_head,PRIMARY_MOVER
thumb_flexion,flexor_pollicis_longus_head,PRIMARY_MOVER
thumb_flexion,flexor_pollicis_brevis_head,PRIMARY_MOVER
thumb_extension,extensor_pollicis_longus_head,PRIMARY_MOVER
thumb_extension,extensor_pollicis_brevis_head,PRIMARY_MOVER
thumb_opposition,opponens_pollicis_head,PRIMARY_MOVER
mcp_flexion,lumbricals_1_2,PRIMARY_MOVER
mcp_flexion,lumbricals_3_4,PRIMARY_MOVER
pip_dip_extension,lumbricals_1_2,PRIMARY_MOVER
pip_dip_extension,lumbricals_3_4,PRIMARY_MOVER
little_finger_opposition,opponens_digiti_minimi_head,PRIMARY_MOVER
