:START_ID(Artery),:END_ID(Artery),:TYPE
thoracic_aorta,aorta,BRANCHES_FROM
abdominal_aorta,aorta,BRANCHES_FROM
subclavian_artery,aorta,BRANCHES_FROM
axillary_artery,subclavian_artery,BRANCHES_FROM
brachial_artery,axillary_artery,BRANCHES_FROM
radial_artery,brachial_artery,BRANCHES_FROM
ulnar_artery,brachial_artery,BRANCHES_FROM
common_carotid_artery,aorta,BRANCHES_FROM
external_carotid_artery,common_carotid_artery,BRANCHES_FROM
internal_thoracic_artery,subclavian_artery,BRANCHES_FROM
superior_thyroid_artery,external_carotid_artery,BRANCHES_FROM
common_iliac_artery,aorta,BRANCHES_FROM
internal_iliac_artery,common_iliac_artery,BRANCHES_FROM
external_iliac_artery,common_iliac_artery,BRANCHES_FROM
posterior_tibial_artery,popliteal_artery,BRANCHES_FROM
deep_brachial_artery,brachial_artery,BRANCHES_FROM
posterior_circumflex_humeral_artery,axillary_artery,BRANCHES_FROM
thoracoacromial_artery,axillary_artery,BRANCHES_FROM
suprascapular_artery,subclavian_artery,BRANCHES_FROM
circumflex_scapular_artery,subscapular_artery,BRANCHES_FROM
subscapular_artery,axillary_artery,BRANCHES_FROM
lateral_thoracic_artery,axillary_artery,BRANCHES_FROM
common_interosseous_artery,ulnar_artery,BRANCHES_FROM
anterior_interosseous_artery,common_interosseous_artery,BRANCHES_FROM
posterior_interosseous_artery,common_interosseous_artery,BRANCHES_FROM
superficial_palmar_arch,ulnar_artery,BRANCHES_FROM
