:START_ID(Artery),:END_ID,:TYPE
brachial_artery,biceps_brachii_short,SUPPLIES
brachial_artery,biceps_brachii_long,SUPPLIES
brachial_artery,brachialis,SUPPLIES
brachial_artery,coracobrachialis_head,SUPPLIES
radial_artery,extensor_carpi_radialis_longus_head,SUPPLIES
radial_artery,extensor_carpi_radialis_brevis_head,SUPPLIES
radial_artery,abductor_pollicis_brevis_head,SUPPLIES
radial_artery,opponens_pollicis_head,SUPPLIES
radial_artery,abductor_pollicis_longus_head,SUPPLIES
ulnar_artery,flexor_carpi_ulnaris,SUPPLIES
ulnar_artery,flexor_carpi_radialis_head,SUPPLIES
ulnar_artery,palmaris_longus_head,SUPPLIES
ulnar_artery,flexor_digitorum_profundus_medial,SUPPLIES
ulnar_artery,interossei_dorsal,SUPPLIES
ulnar_artery,interossei_palmar,SUPPLIES
ulnar_artery,lumbrical_3_head,SUPPLIES
ulnar_artery,lumbrical_4_head,SUPPLIES
ulnar_artery,adductor_pollicis,SUPPLIES
ulnar_artery,abductor_digiti_minimi_head,SUPPLIES
ulnar_artery,flexor_digiti_minimi_brevis_head,SUPPLIES
ulnar_artery,opponens_digiti_minimi_head,SUPPLIES
deep_brachial_artery,triceps_brachii_lateral,SUPPLIES
deep_brachial_artery,triceps_brachii_medial,SUPPLIES
deep_brachial_artery,triceps_brachii_long,SUPPLIES
deep_brachial_artery,anconeus_head,SUPPLIES
posterior_circumflex_humeral_artery,triceps_brachii_long,SUPPLIES
posterior_circumflex_humeral_artery,deltoid_middle,SUPPLIES
posterior_circumflex_humeral_artery,deltoid_posterior,SUPPLIES
thoracoacromial_artery,deltoid_anterior,SUPPLIES
thoracoacromial_artery,pectoralis_major_clavicular,SUPPLIES
thoracoacromial_artery,pectoralis_major_sternocostal,SUPPLIES
suprascapular_artery,supraspinatus,SUPPLIES
suprascapular_artery,infraspinatus,SUPPLIES
circumflex_scapular_artery,teres_minor,SUPPLIES
subscapular_artery,subscapularis,SUPPLIES
subscapular_artery,teres_major_head,SUPPLIES
lateral_thoracic_artery,serratus_anterior,SUPPLIES
anterior_interosseous_artery,flexor_digitorum_profundus_medial,SUPPLIES
anterior_interosseous_artery,flexor_digitorum_profundus_lateral,SUPPLIES
anterior_interosseous_artery,flexor_pollicis_longus_head,SUPPLIES
anterior_interosseous_artery,pronator_quadratus_head,SUPPLIES
posterior_interosseous_artery,extensor_digiti_minimi_head,SUPPLIES
posterior_interosseous_artery,extensor_carpi_ulnaris_head,SUPPLIES
posterior_interosseous_artery,abductor_pollicis_longus_head,SUPPLIES
posterior_interosseous_artery,extensor_pollicis_brevis_head,SUPPLIES
posterior_interosseous_artery,extensor_pollicis_longus_head,SUPPLIES
posterior_interosseous_artery,extensor_indicis_head,SUPPLIES
superficial_palmar_arch,flexor_pollicis_brevis_head,SUPPLIES
superficial_palmar_arch,lumbrical_1_head,SUPPLIES
superficial_palmar_arch,lumbrical_2_head,SUPPLIES
