:START_ID(Bone),:END_ID(AttachmentPoint),:TYPE
scapula,coracoid_process,HAS_ATTACHMENT
scapula,supraglenoid_tubercle,HAS_ATTACHMENT
scapula,infraglenoid_tubercle,HAS_ATTACHMENT
scapula,spine_of_scapula,HAS_ATTACHMENT
scapula,acromion,HAS_ATTACHMENT
scapula,glenoid_cavity,HAS_ATTACHMENT
scapula,supraspinous_fossa,HAS_ATTACHMENT
scapula,infraspinous_fossa,HAS_ATTACHMENT
scapula,subscapular_fossa,HAS_ATTACHMENT
scapula,medial_border_scapula,HAS_ATTACHMENT
scapula,lateral_border_scapula,HAS_ATTACHMENT
scapula,inferior_angle_scapula,HAS_ATTACHMENT
clavicle,sternal_end,HAS_ATTACHMENT
clavicle,acromial_end,HAS_ATTACHMENT
clavicle,medial_clavicle,HAS_ATTACHMENT
clavicle,lateral_clavicle,HAS_ATTACHMENT
humerus,head_of_humerus,HAS_ATTACHMENT
humerus,greater_tubercle,HAS_ATTACHMENT
humerus,lesser_tubercle,HAS_ATTACHMENT
humerus,intertubercular_groove,HAS_ATTACHMENT
humerus,medial_lip_intertubercular_sulcus,HAS_ATTACHMENT
humerus,deltoid_tuberosity,HAS_ATTACHMENT
humerus,medial_epicondyle,HAS_ATTACHMENT
humerus,lateral_epicondyle,HAS_ATTACHMENT
humerus,lateral_supracondylar_ridge,HAS_ATTACHMENT
humerus,midshaft_humerus_medial,HAS_ATTACHMENT
humerus,above_radial_groove,HAS_ATTACHMENT
humerus,below_radial_groove,HAS_ATTACHMENT
humerus,intertubercular_sulcus,HAS_ATTACHMENT
radius,head_of_radius,HAS_ATTACHMENT
radius,radial_tuberosity,HAS_ATTACHMENT
radius,anterior_radius,HAS_ATTACHMENT
radius,posterior_radius,HAS_ATTACHMENT
radius,styloid_process_of_radius,HAS_ATTACHMENT
radius,ulnar_notch,HAS_ATTACHMENT
radius,distal_radius_anterior,HAS_ATTACHMENT
radius,distal_radius_ulnar_notch,HAS_ATTACHMENT
radius,midshaft_radius,HAS_ATTACHMENT
radius,proximal_radius,HAS_ATTACHMENT
ulna,olecranon_process,HAS_ATTACHMENT
ulna,coronoid_process,HAS_ATTACHMENT
ulna,ulnar_tuberosity,HAS_ATTACHMENT
ulna,styloid_process_of_ulna,HAS_ATTACHMENT
ulna,radial_notch,HAS_ATTACHMENT
ulna,posterior_border_ulna,HAS_ATTACHMENT
ulna,posterior_ulna,HAS_ATTACHMENT
ulna,proximal_ulna,HAS_ATTACHMENT
ulna,distal_ulna_anterior,HAS_ATTACHMENT
hand,pisiform,HAS_ATTACHMENT
hand,hamate,HAS_ATTACHMENT
hand,base_of_1st_metacarpal,HAS_ATTACHMENT
hand,base_of_2nd_metacarpal,HAS_ATTACHMENT
hand,base_of_3rd_metacarpal,HAS_ATTACHMENT
hand,base_of_5th_metacarpal,HAS_ATTACHMENT
hand,middle_phalanges_2_5,HAS_ATTACHMENT
hand,proximal_phalanges_2_3_4,HAS_ATTACHMENT
hand,proximal_phalanges_2_4_5,HAS_ATTACHMENT
hand,medial_side_proximal_phalanx_thumb,HAS_ATTACHMENT
hand,lateral_side_proximal_phalanx_thumb,HAS_ATTACHMENT
hand,proximal_phalanx_thumb_dorsal,HAS_ATTACHMENT
hand,distal_phalanges_2_5,HAS_ATTACHMENT
hand,distal_phalanx_thumb,HAS_ATTACHMENT
hand,lateral_1st_metacarpal,HAS_ATTACHMENT
hand,medial_5th_metacarpal,HAS_ATTACHMENT
hand,proximal_phalanx_5_medial,HAS_ATTACHMENT
hand,proximal_phalanx_5_palmar,HAS_ATTACHMENT
hand,scaphoid_tubercle,HAS_ATTACHMENT
hand,trapezium_tubercle,HAS_ATTACHMENT
hand,hook_of_hamate,HAS_ATTACHMENT
hand,extensor_expansions_2_5,HAS_ATTACHMENT
hand,extensor_expansions_4_5,HAS_ATTACHMENT
hand,extensor_expansion_2,HAS_ATTACHMENT
hand,extensor_expansion_5,HAS_ATTACHMENT
sternum,sternum_body,HAS_ATTACHMENT
thoracic_cage,costal_cartilages_1_6,HAS_ATTACHMENT
fascia,bicipital_aponeurosis,HAS_ATTACHMENT
fascia,palmar_aponeurosis,HAS_ATTACHMENT
fascia,flexor_retinaculum,HAS_ATTACHMENT
interosseous_membrane,interosseous_membrane,HAS_ATTACHMENT
tendons,fdp_tendon_digit2,HAS_ATTACHMENT
tendons,fdp_tendon_digit3,HAS_ATTACHMENT
tendons,fdp_tendon_digit4,HAS_ATTACHMENT
tendons,fdp_tendon_digit5,HAS_ATTACHMENT
