:START_ID(MuscleHead),:END_ID(Artery),:TYPE
biceps_brachii_short,brachial_artery,SUPPLIED_BY
biceps_brachii_long,brachial_artery,SUPPLIED_BY
triceps_brachii_long,deep_brachial_artery,SUPPLIED_BY
triceps_brachii_long,posterior_circumflex_humeral_artery,SUPPLIED_BY
triceps_brachii_lateral,deep_brachial_artery,SUPPLIED_BY
triceps_brachii_medial,deep_brachial_artery,SUPPLIED_BY
deltoid_anterior,thoracoacromial_artery,SUPPLIED_BY
deltoid_middle,posterior_circumflex_humeral_artery,SUPPLIED_BY
deltoid_posterior,posterior_circumflex_humeral_artery,SUPPLIED_BY
pectoralis_major_clavicular,thoracoacromial_artery,SUPPLIED_BY
pectoralis_major_sternocostal,thoracoacromial_artery,SUPPLIED_BY
supraspinatus,suprascapular_artery,SUPPLIED_BY
infraspinatus,suprascapular_artery,SUPPLIED_BY
teres_minor,circumflex_scapular_artery,SUPPLIED_BY
subscapularis,subscapular_artery,SUPPLIED_BY
coracobrachialis_head,brachial_artery,SUPPLIED_BY
teres_major_head,subscapular_artery,SUPPLIED_BY
anconeus_head,deep_brachial_artery,SUPPLIED_BY
flexor_carpi_radialis_head,ulnar_artery,SUPPLIED_BY
palmaris_longus_head,ulnar_artery,SUPPLIED_BY
flexor_digitorum_profundus_medial,anterior_interosseous_artery,SUPPLIED_BY
flexor_digitorum_profundus_lateral,anterior_interosseous_artery,SUPPLIED_BY
flexor_pollicis_longus_head,anterior_interosseous_artery,SUPPLIED_BY
pronator_quadratus_head,anterior_interosseous_artery,SUPPLIED_BY
extensor_carpi_radialis_longus_head,radial_artery,SUPPLIED_BY
extensor_carpi_radialis_brevis_head,radial_artery,SUPPLIED_BY
extensor_digiti_minimi_head,posterior_interosseous_artery,SUPPLIED_BY
extensor_carpi_ulnaris_head,posterior_interosseous_artery,SUPPLIED_BY
abductor_pollicis_longus_head,posterior_interosseous_artery,SUPPLIED_BY
extensor_pollicis_brevis_head,posterior_interosseous_artery,SUPPLIED_BY
extensor_pollicis_longus_head,posterior_interosseous_artery,SUPPLIED_BY
extensor_indicis_head,posterior_interosseous_artery,SUPPLIED_BY
abductor_pollicis_brevis_head,radial_artery,SUPPLIED_BY
flexor_pollicis_brevis_head,superficial_palmar_arch,SUPPLIED_BY
opponens_pollicis_head,radial_artery,SUPPLIED_BY
lumbrical_1_head,superficial_palmar_arch,SUPPLIED_BY
lumbrical_2_head,superficial_palmar_arch,SUPPLIED_BY
lumbrical_3_head,ulnar_artery,SUPPLIED_BY
lumbrical_4_head,ulnar_artery,SUPPLIED_BY
abductor_digiti_minimi_head,ulnar_artery,SUPPLIED_BY
flexor_digiti_minimi_brevis_head,ulnar_artery,SUPPLIED_BY
opponens_digiti_minimi_head,ulnar_artery,SUPPLIED_BY
