:START_ID(MuscleHead),:END_ID(Nerve),:TYPE
biceps_brachii_short,musculocutaneous,INNERVATED_BY
biceps_brachii_long,musculocutaneous,INNERVATED_BY
triceps_brachii_long,radial_nerve,INNERVATED_BY
triceps_brachii_lateral,radial_nerve,INNERVATED_BY
triceps_brachii_medial,radial_nerve,INNERVATED_BY
deltoid_anterior,axillary,INNERVATED_BY
deltoid_middle,axillary,INNERVATED_BY
deltoid_posterior,axillary,INNERVATED_BY
pectoralis_major_clavicular,lateral_pectoral_nerve,INNERVATED_BY
pectoralis_major_sternocostal,medial_pectoral_nerve,INNERVATED_BY
supraspinatus,suprascapular,INNERVATED_BY
infraspinatus,suprascapular,INNERVATED_BY
teres_minor,axillary,INNERVATED_BY
subscapularis,upper_subscapular_nerve,INNERVATED_BY
subscapularis,lower_subscapular_nerve,INNERVATED_BY
coracobrachialis_head,musculocutaneous,INNERVATED_BY
teres_major_head,lower_subscapular_nerve,INNERVATED_BY
anconeus_head,radial_nerve,INNERVATED_BY
flexor_carpi_radialis_head,median,INNERVATED_BY
palmaris_longus_head,median,INNERVATED_BY
flexor_digitorum_profundus_medial,ulnar,INNERVATED_BY
flexor_digitorum_profundus_lateral,anterior_interosseous_nerve,INNERVATED_BY
flexor_pollicis_longus_head,anterior_interosseous_nerve,INNERVATED_BY
pronator_quadratus_head,anterior_interosseous_nerve,INNERVATED_BY
extensor_carpi_radialis_longus_head,radial_nerve,INNERVATED_BY
extensor_carpi_radialis_brevis_head,posterior_interosseous_nerve,INNERVATED_BY
extensor_digiti_minimi_head,posterior_interosseous_nerve,INNERVATED_BY
extensor_carpi_ulnaris_head,posterior_interosseous_nerve,INNERVATED_BY
abductor_pollicis_longus_head,posterior_interosseous_nerve,INNERVATED_BY
extensor_pollicis_brevis_head,posterior_interosseous_nerve,INNERVATED_BY
extensor_pollicis_longus_head,posterior_interosseous_nerve,INNERVATED_BY
extensor_indicis_head,posterior_interosseous_nerve,INNERVATED_BY
abductor_pollicis_brevis_head,recurrent_branch_median,INNERVATED_BY
flexor_pollicis_brevis_head,recurrent_branch_median,INNERVATED_BY
opponens_pollicis_head,recurrent_branch_median,INNERVATED_BY
lumbrical_1_head,median,INNERVATED_BY
lumbrical_2_head,median,INNERVATED_BY
lumbrical_3_head,deep_branch_ulnar,INNERVATED_BY
lumbrical_4_head,deep_branch_ulnar,INNERVATED_BY
abductor_digiti_minimi_head,deep_branch_ulnar,INNERVATED_BY
flexor_digiti_minimi_brevis_head,deep_branch_ulnar,INNERVATED_BY
opponens_digiti_minimi_head,deep_branch_ulnar,INNERVATED_BY
