:START_ID(MuscleHead),:END_ID(AttachmentPoint),:TYPE
biceps_brachii_short,coracoid_process,ORIGINATES_AT
biceps_brachii_long,supraglenoid_tubercle,ORIGINATES_AT
triceps_brachii_long,infraglenoid_tubercle,ORIGINATES_AT
triceps_brachii_lateral,above_radial_groove,ORIGINATES_AT
triceps_brachii_medial,below_radial_groove,ORIGINATES_AT
deltoid_anterior,lateral_clavicle,ORIGINATES_AT
deltoid_middle,acromion,ORIGINATES_AT
deltoid_posterior,spine_of_scapula,ORIGINATES_AT
pectoralis_major_clavicular,medial_clavicle,ORIGINATES_AT
pectoralis_major_sternocostal,sternum_body,ORIGINATES_AT
pectoralis_major_sternocostal,costal_cartilages_1_6,ORIGINATES_AT
supraspinatus,supraspinous_fossa,ORIGINATES_AT
infraspinatus,infraspinous_fossa,ORIGINATES_AT
teres_minor,lateral_border_scapula,ORIGINATES_AT
subscapularis,subscapular_fossa,ORIGINATES_AT
coracobrachialis_head,coracoid_process,ORIGINATES_AT
teres_major_head,inferior_angle_scapula,ORIGINATES_AT
anconeus_head,lateral_epicondyle,ORIGINATES_AT
flexor_carpi_radialis_head,medial_epicondyle,ORIGINATES_AT
palmaris_longus_head,medial_epicondyle,ORIGINATES_AT
flexor_digitorum_profundus_medial,proximal_ulna,ORIGINATES_AT
flexor_digitorum_profundus_medial,interosseous_membrane,ORIGINATES_AT
flexor_digitorum_profundus_lateral,proximal_ulna,ORIGINATES_AT
flexor_digitorum_profundus_lateral,interosseous_membrane,ORIGINATES_AT
flexor_pollicis_longus_head,anterior_radius,ORIGINATES_AT
flexor_pollicis_longus_head,interosseous_membrane,ORIGINATES_AT
pronator_quadratus_head,distal_ulna_anterior,ORIGINATES_AT
pronator_quadratus_head,interosseous_membrane,ORIGINATES_AT
extensor_carpi_radialis_longus_head,lateral_supracondylar_ridge,ORIGINATES_AT
extensor_carpi_radialis_brevis_head,lateral_epicondyle,ORIGINATES_AT
extensor_digiti_minimi_head,lateral_epicondyle,ORIGINATES_AT
extensor_carpi_ulnaris_head,lateral_epicondyle,ORIGINATES_AT
extensor_carpi_ulnaris_head,posterior_border_ulna,ORIGINATES_AT
abductor_pollicis_longus_head,posterior_ulna,ORIGINATES_AT
abductor_pollicis_longus_head,posterior_radius,ORIGINATES_AT
abductor_pollicis_longus_head,interosseous_membrane,ORIGINATES_AT
extensor_pollicis_brevis_head,posterior_radius,ORIGINATES_AT
extensor_pollicis_brevis_head,interosseous_membrane,ORIGINATES_AT
extensor_pollicis_longus_head,posterior_ulna,ORIGINATES_AT
extensor_pollicis_longus_head,interosseous_membrane,ORIGINATES_AT
extensor_indicis_head,posterior_ulna,ORIGINATES_AT
extensor_indicis_head,interosseous_membrane,ORIGINATES_AT
abductor_pollicis_brevis_head,scaphoid_tubercle,ORIGINATES_AT
abductor_pollicis_brevis_head,trapezium_tubercle,ORIGINATES_AT
abductor_pollicis_brevis_head,flexor_retinaculum,ORIGINATES_AT
flexor_pollicis_brevis_head,flexor_retinaculum,ORIGINATES_AT
flexor_pollicis_brevis_head,trapezium_tubercle,ORIGINATES_AT
opponens_pollicis_head,flexor_retinaculum,ORIGINATES_AT
opponens_pollicis_head,trapezium_tubercle,ORIGINATES_AT
lumbrical_1_head,fdp_tendon_digit2,ORIGINATES_AT
lumbrical_2_head,fdp_tendon_digit3,ORIGINATES_AT
lumbrical_3_head,fdp_tendon_digit3,ORIGINATES_AT
lumbrical_3_head,fdp_tendon_digit4,ORIGINATES_AT
lumbrical_4_head,fdp_tendon_digit4,ORIGINATES_AT
lumbrical_4_head,fdp_tendon_digit5,ORIGINATES_AT
abductor_digiti_minimi_head,pisiform,ORIGINATES_AT
flexor_digiti_minimi_brevis_head,hook_of_hamate,ORIGINATES_AT
flexor_digiti_minimi_brevis_head,flexor_retinaculum,ORIGINATES_AT
opponens_digiti_minimi_head,hook_of_hamate,ORIGINATES_AT
opponens_digiti_minimi_head,flexor_retinaculum,ORIGINATES_AT
