:START_ID(Muscle),:END_ID,:TYPE
biceps_brachii,triceps_brachii,ANTAGONIST
triceps_brachii,biceps_brachii,ANTAGONIST
anconeus,biceps_brachii,ANTAGONIST
brachialis,triceps_brachii,ANTAGONIST
coracobrachialis,latissimus_dorsi,ANTAGONIST
coracobrachialis,deltoid_posterior,ANTAGONIST
brachioradialis,triceps_brachii,ANTAGONIST
deltoid,latissimus_dorsi,ANTAGONIST
deltoid,pectoralis_major,ANTAGONIST
pectoralis_major,deltoid_posterior,ANTAGONIST
pectoralis_major,latissimus_dorsi,ANTAGONIST
latissimus_dorsi,deltoid_anterior,ANTAGONIST
latissimus_dorsi,pectoralis_major,ANTAGONIST
teres_major,deltoid_anterior,ANTAGONIST
pronator_teres,supinator,ANTAGONIST
pronator_teres,biceps_brachii,ANTAGONIST
flexor_carpi_radialis,extensor_carpi_ulnaris,ANTAGONIST
palmaris_longus,extensor_carpi_radialis_longus,ANTAGONIST
supinator,pronator_teres,ANTAGONIST
flexor_digitorum_superficialis,extensor_digitorum,ANTAGONIST
flexor_digitorum_profundus,extensor_digitorum,ANTAGONIST
flexor_pollicis_longus,extensor_pollicis_longus,ANTAGONIST
flexor_pollicis_longus,extensor_pollicis_brevis,ANTAGONIST
pronator_quadratus,supinator,ANTAGONIST
extensor_digitorum,flexor_digitorum_superficialis,ANTAGONIST
extensor_carpi_radialis_longus,flexor_carpi_ulnaris,ANTAGONIST
extensor_carpi_radialis_brevis,flexor_carpi_ulnaris,ANTAGONIST
extensor_digiti_minimi,flexor_digitorum_superficialis,ANTAGONIST
extensor_carpi_ulnaris,flexor_carpi_radialis,ANTAGONIST
abductor_pollicis_longus,adductor_pollicis,ANTAGONIST
extensor_pollicis_brevis,flexor_pollicis_longus,ANTAGONIST
extensor_pollicis_brevis,flexor_pollicis_brevis,ANTAGONIST
extensor_pollicis_longus,flexor_pollicis_longus,ANTAGONIST
extensor_indicis,flexor_digitorum_profundus,ANTAGONIST
abductor_pollicis_brevis,adductor_pollicis,ANTAGONIST
flexor_pollicis_brevis,extensor_pollicis_longus,ANTAGONIST
flexor_pollicis_brevis,extensor_pollicis_brevis,ANTAGONIST
abductor_digiti_minimi,interossei_palmar,ANTAGONIST
flexor_digiti_minimi_brevis,extensor_digitorum,ANTAGONIST
