:START_ID(Muscle),:END_ID(MuscleHead),:TYPE
biceps_brachii,biceps_brachii_short,HAS_HEAD
biceps_brachii,biceps_brachii_long,HAS_HEAD
triceps_brachii,triceps_brachii_long,HAS_HEAD
triceps_brachii,triceps_brachii_lateral,HAS_HEAD
triceps_brachii,triceps_brachii_medial,HAS_HEAD
anconeus,anconeus_head,HAS_HEAD
coracobrachialis,coracobrachialis_head,HAS_HEAD
deltoid,deltoid_anterior,HAS_HEAD
deltoid,deltoid_middle,HAS_HEAD
deltoid,deltoid_posterior,HAS_HEAD
pectoralis_major,pectoralis_major_clavicular,HAS_HEAD
pectoralis_major,pectoralis_major_sternocostal,HAS_HEAD
teres_major,teres_major_head,HAS_HEAD
rotator_cuff,supraspinatus,HAS_HEAD
rotator_cuff,infraspinatus,HAS_HEAD
rotator_cuff,teres_minor,HAS_HEAD
rotator_cuff,subscapularis,HAS_HEAD
flexor_carpi_radialis,flexor_carpi_radialis_head,HAS_HEAD
palmaris_longus,palmaris_longus_head,HAS_HEAD
flexor_digitorum_profundus,flexor_digitorum_profundus_medial,HAS_HEAD
flexor_digitorum_profundus,flexor_digitorum_profundus_lateral,HAS_HEAD
flexor_pollicis_longus,flexor_pollicis_longus_head,HAS_HEAD
pronator_quadratus,pronator_quadratus_head,HAS_HEAD
extensor_carpi_radialis_longus,extensor_carpi_radialis_longus_head,HAS_HEAD
extensor_carpi_radialis_brevis,extensor_carpi_radialis_brevis_head,HAS_HEAD
extensor_digiti_minimi,extensor_digiti_minimi_head,HAS_HEAD
extensor_carpi_ulnaris,extensor_carpi_ulnaris_head,HAS_HEAD
abductor_pollicis_longus,abductor_pollicis_longus_head,HAS_HEAD
extensor_pollicis_brevis,extensor_pollicis_brevis_head,HAS_HEAD
extensor_pollicis_longus,extensor_pollicis_longus_head,HAS_HEAD
extensor_indicis,extensor_indicis_head,HAS_HEAD
abductor_pollicis_brevis,abductor_pollicis_brevis_head,HAS_HEAD
flexor_pollicis_brevis,flexor_pollicis_brevis_head,HAS_HEAD
opponens_pollicis,opponens_pollicis_head,HAS_HEAD
lumbricals_1_2,lumbrical_1_head,HAS_HEAD
lumbricals_1_2,lumbrical_2_head,HAS_HEAD
lumbricals_3_4,lumbrical_3_head,HAS_HEAD
lumbricals_3_4,lumbrical_4_head,HAS_HEAD
abductor_digiti_minimi,abductor_digiti_minimi_head,HAS_HEAD
flexor_digiti_minimi_brevis,flexor_digiti_minimi_brevis_head,HAS_HEAD
opponens_digiti_minimi,opponens_digiti_minimi_head,HAS_HEAD
