:START_ID(Muscle),:END_ID(AttachmentPoint),:TYPE
biceps_brachii,radial_tuberosity,INSERTS_AT
biceps_brachii,bicipital_aponeurosis,INSERTS_AT
triceps_brachii,olecranon_process,INSERTS_AT
anconeus,olecranon_process,INSERTS_AT
brachialis,ulnar_tuberosity,INSERTS_AT
brachialis,coronoid_process,INSERTS_AT
coracobrachialis,midshaft_humerus_medial,INSERTS_AT
brachioradialis,styloid_process_of_radius,INSERTS_AT
deltoid,deltoid_tuberosity,INSERTS_AT
pectoralis_major,greater_tubercle,INSERTS_AT
latissimus_dorsi,intertubercular_sulcus,INSERTS_AT
teres_major,medial_lip_intertubercular_sulcus,INSERTS_AT
rotator_cuff,greater_tubercle,INSERTS_AT
rotator_cuff,lesser_tubercle,INSERTS_AT
pronator_teres,midshaft_radius,INSERTS_AT
flexor_carpi_radialis,base_of_2nd_metacarpal,INSERTS_AT
flexor_carpi_radialis,base_of_3rd_metacarpal,INSERTS_AT
palmaris_longus,palmar_aponeurosis,INSERTS_AT
supinator,proximal_radius,INSERTS_AT
flexor_digitorum_superficialis,middle_phalanges_2_5,INSERTS_AT
flexor_digitorum_profundus,distal_phalanges_2_5,INSERTS_AT
flexor_pollicis_longus,distal_phalanx_thumb,INSERTS_AT
pronator_quadratus,distal_radius_anterior,INSERTS_AT
extensor_digitorum,extensor_expansions_2_5,INSERTS_AT
extensor_carpi_radialis_longus,base_of_2nd_metacarpal,INSERTS_AT
extensor_carpi_radialis_brevis,base_of_3rd_metacarpal,INSERTS_AT
extensor_digiti_minimi,extensor_expansion_5,INSERTS_AT
extensor_carpi_ulnaris,base_of_5th_metacarpal,INSERTS_AT
abductor_pollicis_longus,base_of_1st_metacarpal,INSERTS_AT
extensor_pollicis_brevis,proximal_phalanx_thumb_dorsal,INSERTS_AT
extensor_pollicis_longus,distal_phalanx_thumb,INSERTS_AT
extensor_indicis,extensor_expansion_2,INSERTS_AT
serratus_anterior,medial_border_scapula,INSERTS_AT
flexor_carpi_ulnaris,pisiform,INSERTS_AT
flexor_carpi_ulnaris,hamate,INSERTS_AT
flexor_carpi_ulnaris,base_of_5th_metacarpal,INSERTS_AT
adductor_pollicis,medial_side_proximal_phalanx_thumb,INSERTS_AT
abductor_pollicis_brevis,lateral_side_proximal_phalanx_thumb,INSERTS_AT
flexor_pollicis_brevis,lateral_side_proximal_phalanx_thumb,INSERTS_AT
opponens_pollicis,lateral_1st_metacarpal,INSERTS_AT
interossei_dorsal,proximal_phalanges_2_3_4,INSERTS_AT
interossei_palmar,proximal_phalanges_2_4_5,INSERTS_AT
lumbricals_1_2,extensor_expansions_2_5,INSERTS_AT
lumbricals_3_4,extensor_expansions_4_5,INSERTS_AT
abductor_digiti_minimi,proximal_phalanx_5_medial,INSERTS_AT
flexor_digiti_minimi_brevis,proximal_phalanx_5_palmar,INSERTS_AT
opponens_digiti_minimi,medial_5th_metacarpal,INSERTS_AT
