:START_ID(Nerve),:END_ID,:TYPE
median,pronator_teres,INNERVATES
median,flexor_digitorum_superficialis,INNERVATES
median,flexor_carpi_radialis_head,INNERVATES
median,palmaris_longus_head,INNERVATES
median,lumbrical_1_head,INNERVATES
median,lumbrical_2_head,INNERVATES
ulnar,flexor_carpi_ulnaris,INNERVATES
ulnar,flexor_digitorum_profundus_medial,INNERVATES
ulnar,adductor_pollicis,INNERVATES
ulnar,interossei_dorsal,INNERVATES
ulnar,interossei_palmar,INNERVATES
ulnar,lumbrical_3_head,INNERVATES
ulnar,lumbrical_4_head,INNERVATES
axillary,deltoid_anterior,INNERVATES
axillary,deltoid_middle,INNERVATES
axillary,deltoid_posterior,INNERVATES
axillary,teres_minor,INNERVATES
suprascapular,supraspinatus,INNERVATES
suprascapular,infraspinatus,INNERVATES
musculocutaneous,biceps_brachii_short,INNERVATES
musculocutaneous,biceps_brachii_long,INNERVATES
musculocutaneous,brachialis,INNERVATES
musculocutaneous,coracobrachialis_head,INNERVATES
radial_nerve,triceps_brachii_long,INNERVATES
radial_nerve,triceps_brachii_lateral,INNERVATES
radial_nerve,triceps_brachii_medial,INNERVATES
radial_nerve,anconeus_head,INNERVATES
radial_nerve,brachioradialis,INNERVATES
radial_nerve,extensor_carpi_radialis_longus_head,INNERVATES
radial_nerve,supinator,INNERVATES
radial_nerve,extensor_digitorum,INNERVATES
anterior_interosseous_nerve,flexor_digitorum_profundus_lateral,INNERVATES
anterior_interosseous_nerve,flexor_pollicis_longus_head,INNERVATES
anterior_interosseous_nerve,pronator_quadratus_head,INNERVATES
posterior_interosseous_nerve,extensor_carpi_radialis_brevis_head,INNERVATES
posterior_interosseous_nerve,extensor_digiti_minimi_head,INNERVATES
posterior_interosseous_nerve,extensor_carpi_ulnaris_head,INNERVATES
posterior_interosseous_nerve,abductor_pollicis_longus_head,INNERVATES
posterior_interosseous_nerve,extensor_pollicis_brevis_head,INNERVATES
posterior_interosseous_nerve,extensor_pollicis_longus_head,INNERVATES
posterior_interosseous_nerve,extensor_indicis_head,INNERVATES
lateral_pectoral_nerve,pectoralis_major_clavicular,INNERVATES
medial_pectoral_nerve,pectoralis_major_sternocostal,INNERVATES
upper_subscapular_nerve,subscapularis,INNERVATES
lower_subscapular_nerve,subscapularis,INNERVATES
lower_subscapular_nerve,teres_major_head,INNERVATES
deep_branch_ulnar,abductor_digiti_minimi_head,INNERVATES
deep_branch_ulnar,flexor_digiti_minimi_brevis_head,INNERVATES
deep_branch_ulnar,opponens_digiti_minimi_head,INNERVATES
deep_branch_ulnar,interossei_dorsal,INNERVATES
deep_branch_ulnar,interossei_palmar,INNERVATES
deep_branch_ulnar,adductor_pollicis,INNERVATES
deep_branch_ulnar,lumbrical_3_head,INNERVATES
deep_branch_ulnar,lumbrical_4_head,INNERVATES
recurrent_branch_median,abductor_pollicis_brevis_head,INNERVATES
recurrent_branch_median,flexor_pollicis_brevis_head,INNERVATES
recurrent_branch_median,opponens_pollicis_head,INNERVATES
long_thoracic,serratus_anterior,INNERVATES
